id,title,genres,averageRating,numVotes,releaseYear
tt5690360,"Slender Man","Horror, Mystery, Thriller",3.3,39725,2018
tt7608028,"The Open House","Horror, Thriller",3.3,37780,2018
tt0065832,"Hercules in New York","Adventure, Comedy, Fantasy",3.3,19915,1970
tt5842616,"Veere Di Wedding",Comedy,3.3,13348,2018
tt1411664,"Bucky Larson: Born to Be a Star",Comedy,3.3,13056,2011
tt7851428,"First Signal","Drama, Sci-Fi",3.3,12139,2021
tt0327554,Catwoman,"Action, Crime, Fantasy",3.4,127705,2004
tt4877122,"The Emoji Movie","Adventure, Animation, Comedy",3.4,73711,2017
tt1666186,"Vampires Suck","Comedy, Horror",3.4,52481,2010
tt0329028,"Dumb and Dumberer: When Harry Met Lloyd",Comedy,3.4,43038,2003
tt0295427,"The Master of Disguise","Adventure, Comedy, Family",3.4,27781,2002
tt0110978,"Texas Chainsaw Massacre: The Next Generation","Comedy, Horror, Thriller",3.4,26893,1994
tt0295254,Feardotcom,"Crime, Horror, Thriller",3.4,23080,2002
tt6439558,"Recep Ivedik 5",Comedy,3.4,18395,2017
tt10739666,"Satyameva Jayate 2","Action, Crime, Drama",3.4,16211,2021
tt10930586,Shikara,"Drama, History, Romance",3.4,15513,2020
tt0095560,"Mac and Me","Adventure, Comedy, Family",3.4,14872,1988
tt0469111,"I'll Always Know What You Did Last Summer","Horror, Mystery, Thriller",3.4,13872,2006
tt1594972,"Norm of the North","Adventure, Animation, Comedy",3.4,10305,2016
tt0795461,"Scary Movie V","Comedy, Horror",3.5,78889,2013
tt0110857,"Police Academy: Mission to Moscow","Comedy, Crime",3.5,36762,1994
tt6990206,Crimea,"Action, Drama",3.5,33642,2017
tt0115624,"Barb Wire","Action, Sci-Fi",3.5,31748,1996
tt0372873,"Dragon Wars: D-War","Action, Drama, Fantasy",3.5,25555,2007
tt4667094,"Fifty Shades of Black",Comedy,3.5,23647,2016
tt10481868,"Black Christmas","Horror, Mystery, Thriller",3.5,19591,2019
tt3138104,"The Hungover Games","Adventure, Comedy, Fantasy",3.5,17264,2014
tt22504924,"No War","Action, Drama, Short",3.5,16207,2022
tt27785645,"Episode #1.7","Comedy, Drama, Romance",3.5,14463,2023
tt12335692,"Last Man Down","Action, Sci-Fi",3.5,14147,2021
tt0157262,"2001: A Space Travesty","Comedy, Sci-Fi",3.5,13098,2000
tt2308733,"Home Alone: The Holiday Heist","Comedy, Crime, Family",3.5,13000,2012
tt0094118,"Teen Wolf Too","Comedy, Fantasy",3.5,12706,1987
tt3053228,"Day of the Dead: Bloodline","Action, Drama, Horror",3.5,12627,2017
tt0462395,"Larry the Cable Guy: Health Inspector","Comedy, Romance",3.5,12567,2006
tt8923396,Jinn,"Drama, Fantasy, Horror",3.5,10599,2019
tt0368226,"The Room",Drama,3.6,96528,2003
tt0119707,"Mortal Kombat: Annihilation","Action, Adventure, Fantasy",3.6,58996,1997
tt8712204,Batwoman,"Action, Adventure, Crime",3.6,46939,2019
tt9196192,Cuties,Drama,3.6,32936,2020
tt0897361,"I Know Who Killed Me","Horror, Mystery, Thriller",3.6,31283,2007
tt1517489,"The Survival of Humanity","Action, Adventure, Comedy",3.6,29050,2011
tt0367093,"Starship Troopers 2: Hero of the Federation","Action, Adventure, Horror",3.6,24845,2004
tt11012066,"Home Sweet Home Alone","Comedy, Crime, Family",3.6,20845,2021
tt13439476,Kaamraj,Drama,3.6,19150,2020
